support,itemsets
0.04376037422664856,"frozenset({'runtime_runtime=(97.0, 750.0]', 'popularity_popularity=(0.0997, 16.712]', 'releaseYear_releaseYear=(2016.0, 2025.0]'})"
0.06413158291836427,"frozenset({'popularity_popularity=(16.712, 11474.647]', 'runtime_runtime=(97.0, 750.0]', 'voteAvg_voteAvg=(-0.001, 6.4]'})"
0.11956139027211911,"frozenset({'popularity_popularity=(16.712, 11474.647]', 'runtime_runtime=(97.0, 750.0]', 'voteAvg_voteAvg=(6.4, 10.0]'})"
0.03586338715356371,"frozenset({'popularity_popularity=(16.712, 11474.647]', 'voteCount_voteCount=(-0.001, 193.0]', 'runtime_runtime=(97.0, 750.0]'})"
0.14782958603691967,"frozenset({'popularity_popularity=(16.712, 11474.647]', 'runtime_runtime=(97.0, 750.0]', 'voteCount_voteCount=(193.0, 30788.0]'})"
0.12041647804436396,"frozenset({'popularity_popularity=(16.712, 11474.647]', 'runtime_runtime=(97.0, 750.0]', 'releaseYear_releaseYear=(1901.999, 2016.0]'})"
0.06247170665459484,"frozenset({'popularity_popularity=(16.712, 11474.647]', 'runtime_runtime=(97.0, 750.0]', 'releaseYear_releaseYear=(2016.0, 2025.0]'})"
0.07112318293848398,"frozenset({'voteCount_voteCount=(-0.001, 193.0]', 'runtime_runtime=(97.0, 750.0]', 'voteAvg_voteAvg=(-0.001, 6.4]'})"
0.07253156279865199,"frozenset({'runtime_runtime=(97.0, 750.0]', 'voteAvg_voteAvg=(-0.001, 6.4]', 'voteCount_voteCount=(193.0, 30788.0]'})"
0.07157587646496655,"frozenset({'runtime_runtime=(97.0, 750.0]', 'releaseYear_releaseYear=(1901.999, 2016.0]', 'voteAvg_voteAvg=(-0.001, 6.4]'})"
0.05879985916201398,"frozenset({'runtime_runtime=(97.0, 750.0]', 'voteAvg_voteAvg=(-0.001, 6.4]', 'releaseYear_releaseYear=(2016.0, 2025.0]'})"
0.04179870227855741,"frozenset({'voteCount_voteCount=(-0.001, 193.0]', 'runtime_runtime=(97.0, 750.0]', 'voteAvg_voteAvg=(6.4, 10.0]'})"
0.1392284090337508,"frozenset({'runtime_runtime=(97.0, 750.0]', 'voteAvg_voteAvg=(6.4, 10.0]', 'voteCount_voteCount=(193.0, 30788.0]'})"
0.11830390825411197,"frozenset({'runtime_runtime=(97.0, 750.0]', 'releaseYear_releaseYear=(1901.999, 2016.0]', 'voteAvg_voteAvg=(6.4, 10.0]'})"
0.06020823902218198,"frozenset({'runtime_runtime=(97.0, 750.0]', 'releaseYear_releaseYear=(2016.0, 2025.0]', 'voteAvg_voteAvg=(6.4, 10.0]'})"
0.030581962677933706,"frozenset({'voteCount_voteCount=(-0.001, 193.0]', 'releaseYear_releaseYear=(1901.999, 2016.0]', 'runtime_runtime=(97.0, 750.0]'})"
0.06679744479653942,"frozenset({'voteCount_voteCount=(-0.001, 193.0]', 'runtime_runtime=(97.0, 750.0]', 'releaseYear_releaseYear=(2016.0, 2025.0]'})"
0.15929782204114482,"frozenset({'runtime_runtime=(97.0, 750.0]', 'releaseYear_releaseYear=(1901.999, 2016.0]', 'voteCount_voteCount=(193.0, 30788.0]'})"
0.052210653387656555,"frozenset({'runtime_runtime=(97.0, 750.0]', 'releaseYear_releaseYear=(2016.0, 2025.0]', 'voteCount_voteCount=(193.0, 30788.0]'})"
0.3104974598863236,"frozenset({'voteCount_voteCount=(-0.001, 193.0]', 'popularity_popularity=(-0.001, 0.0997]', 'voteAvg_voteAvg=(-0.001, 6.4]'})"
0.24103415321160906,"frozenset({'popularity_popularity=(-0.001, 0.0997]', 'voteAvg_voteAvg=(-0.001, 6.4]', 'releaseYear_releaseYear=(2016.0, 2025.0]'})"
0.06946330667471455,"frozenset({'popularity_popularity=(-0.001, 0.0997]', 'voteAvg_voteAvg=(-0.001, 6.4]', 'releaseYear_releaseYear=(2025.0, 2026.0]'})"
0.022835873447009707,"frozenset({'voteCount_voteCount=(-0.001, 193.0]', 'popularity_popularity=(-0.001, 0.0997]', 'voteAvg_voteAvg=(6.4, 10.0]'})"
0.25899099642875106,"frozenset({'voteCount_voteCount=(-0.001, 193.0]', 'popularity_popularity=(-0.001, 0.0997]', 'releaseYear_releaseYear=(2016.0, 2025.0]'})"
0.07434233690458227,"frozenset({'voteCount_voteCount=(-0.001, 193.0]', 'popularity_popularity=(-0.001, 0.0997]', 'releaseYear_releaseYear=(2025.0, 2026.0]'})"
0.1776570595040491,"frozenset({'voteCount_voteCount=(-0.001, 193.0]', 'popularity_popularity=(0.0997, 16.712]', 'voteAvg_voteAvg=(-0.001, 6.4]'})"
0.046023841859061415,"frozenset({'popularity_popularity=(0.0997, 16.712]', 'voteAvg_voteAvg=(-0.001, 6.4]', 'voteCount_voteCount=(193.0, 30788.0]'})"
0.06659624767365827,"frozenset({'popularity_popularity=(0.0997, 16.712]', 'releaseYear_releaseYear=(1901.999, 2016.0]', 'voteAvg_voteAvg=(-0.001, 6.4]'})"
0.11317338162064282,"frozenset({'popularity_popularity=(0.0997, 16.712]', 'voteAvg_voteAvg=(-0.001, 6.4]', 'releaseYear_releaseYear=(2016.0, 2025.0]'})"
0.04391127206880942,"frozenset({'popularity_popularity=(0.0997, 16.712]', 'voteAvg_voteAvg=(-0.001, 6.4]', 'releaseYear_releaseYear=(2025.0, 2026.0]'})"
0.05477591670439113,"frozenset({'voteCount_voteCount=(-0.001, 193.0]', 'popularity_popularity=(0.0997, 16.712]', 'voteAvg_voteAvg=(6.4, 10.0]'})"
0.0548765152658317,"frozenset({'voteAvg_voteAvg=(6.4, 10.0]', 'popularity_popularity=(0.0997, 16.712]', 'voteCount_voteCount=(193.0, 30788.0]'})"
0.060258538302902266,"frozenset({'popularity_popularity=(0.0997, 16.712]', 'releaseYear_releaseYear=(1901.999, 2016.0]', 'voteAvg_voteAvg=(6.4, 10.0]'})"
0.0411448116291937,"frozenset({'popularity_popularity=(0.0997, 16.712]', 'releaseYear_releaseYear=(2016.0, 2025.0]', 'voteAvg_voteAvg=(6.4, 10.0]'})"
0.04421306775313113,"frozenset({'voteCount_voteCount=(-0.001, 193.0]', 'popularity_popularity=(0.0997, 16.712]', 'releaseYear_releaseYear=(1901.999, 2016.0]'})"
0.13605955434837283,"frozenset({'voteCount_voteCount=(-0.001, 193.0]', 'popularity_popularity=(0.0997, 16.712]', 'releaseYear_releaseYear=(2016.0, 2025.0]'})"
0.05216035410693627,"frozenset({'voteCount_voteCount=(-0.001, 193.0]', 'popularity_popularity=(0.0997, 16.712]', 'releaseYear_releaseYear=(2025.0, 2026.0]'})"
0.0826417182234294,"frozenset({'popularity_popularity=(0.0997, 16.712]', 'releaseYear_releaseYear=(1901.999, 2016.0]', 'voteCount_voteCount=(193.0, 30788.0]'})"
0.0506513756853277,"frozenset({'popularity_popularity=(16.712, 11474.647]', 'voteCount_voteCount=(-0.001, 193.0]', 'voteAvg_voteAvg=(-0.001, 6.4]'})"
